Subdiv,Block,Unit,Shape_Leng,Shape_Area
Derby,2,2,826.25227542,14368.8774847
Derby,2,3,1071.20701083,18155.0958981
Derby,3,1,1612.71898723,31880.2835548
Derby,3,2,1132.67539478,28085.8485317
Derby,3,3,741.961551138,12736.8462705
Derby,4,1,1022.38976592,19868.3297941
Derby,4,2,2508.24986343,55381.199179
Derby,4,3,832.757742072,13189.848092
Derby,5,1,1385.54741519,28448.768216
Derby,5,2,1430.80705419,27261.7611169
Derby,5,3,793.684381449,12910.5552863
Derby,6,1,1037.38556669,20614.5685504
Derby,6,2,2174.02907903,46517.4723922
Derby,6,3,833.719118276,14827.8409806
Derby,7,1,757.613056557,14224.9472811
Derby,7,2,831.698587769,16947.0865257
Derby,7,3,1252.22644529,22107.5008931
Derby,8,3,2076.43510656,37617.1737767
Derby,9,3,963.195872193,16066.4661182
Devonshire,1,1,2310.2113959,38985.5009912
Devonshire,1,2,481.40021659,9938.53757108
Devonshire,10,1,1553.11276065,26063.717635
Devonshire,10,2,944.346944491,17800.9909789
Devonshire,11,1,908.304673216,27768.618226
Devonshire,11,2,3930.36729689,84347.2953774
Devonshire,12,1,921.814278206,29060.2013023
Devonshire,12,2,2320.32998508,44424.8311519
Devonshire,13,1,1197.39643184,36907.60748
Devonshire,13,2,523.752594605,8442.58545309
Devonshire,14,1,859.021311248,15180.8938154
Devonshire,14,2,1462.67687092,26322.1705824
Devonshire,15,2,3134.87046275,64141.8040265
Devonshire,16,2,987.533732418,18428.8486217
Devonshire,17,2,1492.94023109,26192.8917112
Devonshire,18,2,1310.18333324,27223.0070933
Devonshire,19,2,3270.1964738,60755.4285466
Devonshire,2,1,1230.07542695,39738.9630421
Devonshire,2,2,1136.64199687,37392.4285454
Devonshire,20,2,1476.55698845,23487.726039
Devonshire,21,2,1187.13274387,19241.9536573
Devonshire,22,2,2361.31988872,38922.4830201
Devonshire,23,2,169.798696413,1928.12677466
Devonshire,24,2,347.544214019,5925.0213762
Devonshire,25,2,2487.84796855,42818.0477013
Devonshire,26,2,274.050673558,4237.80442832
Devonshire,27,2,1527.95760776,30345.2318406
Devonshire,28,2,2312.51045602,46634.3480656
Devonshire,29,2,4090.02909385,91051.5980148
Devonshire,3,1,889.473336629,26649.5153322
Devonshire,3,2,2540.0413215,51201.5524001
Devonshire,30,2,1123.39822517,22109.4471273
Devonshire,31,2,919.28221595,17410.9544878
Devonshire,32,2,1467.11813465,28683.8496351
Devonshire,33,2,1981.49943369,40322.6519417
