OBJECTID,AREA,BUILDIN_ID,Shape_Leng,Shape_Area
12315,0,0,24.0650452923,34.5566954991
12316,0,0,40.5934880037,57.8520949993
12317,0,0,70.7175701957,271.665977997
12318,0,0,52.298695791,145.306908001
12319,0,0,72.5252525943,300.008258494
12320,0,0,37.9662123935,84.572662499
12321,0,0,69.5961127616,164.025135996
12322,0,0,84.9361523812,366.291148502
12323,0,0,32.9144466241,67.6771175013
12324,0,0,49.8342168213,142.643541499
12325,0,0,96.1921055056,393.642865992
12326,0,0,59.1205763912,159.258424997
12327,0,0,49.313295627,116.080796503
12328,0,0,104.412843067,245.457939503
12329,0,0,66.6310591215,245.175039496
12330,0,0,62.8997871464,183.2510365
12331,0,0,45.4892145062,121.924019004
12332,0,0,35.9134298768,75.0588914999
12333,0,0,54.9298313245,145.886837998
12334,0,0,44.8727875151,101.276989502
12335,0,0,48.188634612,123.458539
12336,0,0,68.2366119164,204.530614495
12337,0,0,50.2094736288,124.754081502
12338,0,0,45.3612749861,104.038608996
12339,0,0,45.4821968997,105.614561499
12340,0,0,49.5090745416,125.527930003
12341,0,0,56.6229272163,164.208902503
12342,0,0,84.6832846794,343.992288499
12343,0,0,48.6465450456,147.848261995
12344,0,0,80.3060049673,211.193575997
12345,0,0,81.442179398,329.567209504
12346,0,0,48.7218034363,119.124721
12347,0,0,36.5469602485,65.1227464999
12348,0,0,46.1007465187,104.8992895
12349,0,0,36.2895876245,58.2893175001
12350,0,0,33.5015476186,69.7768125019
12351,0,0,29.0001018873,42.9901815001
12352,0,0,46.9142869734,131.346094498
12353,0,0,33.0692181801,68.3039190016
12354,0,0,42.0687877181,110.315296499
12355,0,0,52.6094231354,128.165113497
12356,0,0,69.2952979622,272.893299998
12357,0,0,63.2293887081,195.096860996
12358,0,0,79.78996864,342.589942499
12359,0,0,37.695034561,74.9269959989
12360,0,0,43.5235626011,107.964994003
12361,0,0,39.9410091551,92.9309525018
12362,0,0,52.6863900957,145.177616999
12363,0,0,85.6797029476,265.773340001
12364,0,0,55.143962174,147.600718497
12365,0,0,41.4125859222,73.1779019965
12366,0,0,70.5940016507,243.518578002
12367,0,0,29.8134703319,54.7590950004
12368,0,0,65.5705904694,239.200491502
12369,0,0,38.3785040513,92.0380779979
12370,0,0,78.7473054389,331.909577002
12371,0,0,68.7946432096,268.540628002
12372,0,0,98.1184409615,391.926361507
12373,0,0,78.8517684493,309.876298997
12374,0,0,43.0470512394,94.195016996
12375,0,0,17.8311738351,19.5817320001
12376,0,0,33.1380665383,35.7785275018
12377,0,0,51.6623932422,98.8251285001
12378,0,0,48.7177361896,135.0949225
12379,0,0,58.5704634959,147.108794495
12380,0,0,60.909346669,159.416283999
12381,0,0,61.7767103275,180.971822999
12382,0,0,55.694910281,162.729677997
12383,0,0,42.3868094356,98.3222309968
12384,0,0,53.6618513031,158.825750998
12385,0,0,53.9518363865,156.239073001
12386,0,0,39.2488101465,80.9944354999
12387,0,0,43.6524400821,87.188009502
12388,0,0,51.9144068076,126.107131498
12389,0,0,65.6034315413,174.083208502
12390,0,0,38.2190556395,82.0636724981
12391,0,0,55.3693224598,157.497514496
12392,0,0,57.0147039655,122.497672505
12393,0,0,47.2037622286,109.747842502
12394,0,0,61.9593938993,202.243935
